Player,Team,Minutes
J. Rose,Manchester City,117.0
J. Rybrink,Tottenham Hotspur,191.0
J. Rytting Kaneryd,Chelsea,88.0
J. Thibaud,Leicester City,180.0
J. Zigiotti Olme,Manchester United,147.0
J. Čanković,Brighton & Hove Albion,180.0
Jana Fernández,London City Lionesses,270.0
K. Asllani,London City Lionesses,270.0
K. Casparij,Manchester City,270.0
K. Gago,Everton,129.0
K. Gorry,West Ham United,180.0
K. Graham,Tottenham Hotspur,32.0
K. Hanson,Aston Villa,168.0
K. Holmgaard,Everton,154.0
K. Keating,Manchester City,180.0
K. Little,Arsenal,180.0
K. MacLean,Liverpool,48.0
K. McCabe,Arsenal,164.0
K. Reid,Arsenal,180.0
K. Robinson,Everton,116.0
K. Seike,Brighton & Hove Albion,100.0
K. Shaw,Manchester City,260.0
K. Snoeijs,Everton,232.0
K. Szemik,West Ham United,55.0
K. Walsh,Chelsea,180.0
K. Zelem,London City Lionesses,100.0
Kerolin,Manchester City,97.0
L. Blindkilde Brown,Manchester City,194.0
L. Coombs,Manchester City,10.0
L. Gunning-Williams,Tottenham Hotspur,40.0
L. Hemp,Manchester City,201.0
L. Kendall,Aston Villa,25.0
L. Kiernan,Liverpool,2.0
L. Kop,Tottenham Hotspur,270.0
L. Lindström,London City Lionesses,80.0
L. Murphy,Manchester City,90.0
L. Naalsund,Manchester United,33.0
L. Wandeler,West Ham United,6.0
L. Wilms,Aston Villa,180.0
L. Woodham,Liverpool,87.0
L. Wubben-Moy,Arsenal,3.0
Leila Ouahabi,Manchester City,170.0
Lucía Corrales,London City Lionesses,143.0
M. Agyemang,Brighton & Hove Albion,179.0
M. Auée,Brighton & Hove Albion,28.0
M. Bright,Chelsea,180.0
M. Enderby,Liverpool,135.0
M. Haley,Brighton & Hove Albion,170.0
M. Hamano,Chelsea,90.0
M. Höbinger,Liverpool,170.0
M. Kearns,Aston Villa,155.0
M. Le Tissier,Manchester United,180.0
M. Malard,Manchester United,180.0
M. Minami,Brighton & Hove Albion,180.0
M. Olislagers,Brighton & Hove Albion,180.0
M. Pacheco,Everton,245.0
M. Paví,West Ham United,26.0
M. Symonds,Brighton & Hove Albion,177.0
M. Taylor,Aston Villa,34.0
M. Thomas,Tottenham Hotspur,27.0
M. Turner,Manchester United,81.0
M. Vinberg,Tottenham Hotspur,45.0
M. Walsh,West Ham United,125.0
Maite Oroz,Tottenham Hotspur,14.0
Mariona Caldentey,Arsenal,168.0
Martina Fernández,Everton,270.0
María Pérez,London City Lionesses,144.0
N. Björn,Chelsea,180.0
N. Charles,Chelsea,135.0
N. Las,Leicester City,26.0
N. Layzell,Manchester City,7.0
N. Maritz,Aston Villa,180.0
N. Noordam,Brighton & Hove Albion,63.0
N. Parris,London City Lionesses,229.0
None,Leicester City,180.0
None,Manchester City,270.0
None,Arsenal,180.0
None,Everton,270.0
None,Aston Villa,180.0
None,Tottenham Hotspur,270.0
None,Manchester United,180.0
None,London City Lionesses,270.0
None,West Ham United,180.0
None,Brighton & Hove Albion,180.0
None,Liverpool,180.0
None,Chelsea,180.0
O. Ahtinen,Tottenham Hotspur,121.0
O. Deslandes,Aston Villa,135.0
O. Holdt,Tottenham Hotspur,79.0
O. Jean-François,Chelsea,17.0
O. McLoughlin,Leicester City,137.0
O. Siren,West Ham United,174.0
O. Smith,Arsenal,88.0
Ornella Vignola,Everton,249.0
P. Tullis-Joyce,Manchester United,180.0
R. Daly,Aston Villa,175.0
R. Imuran,London City Lionesses,227.0
R. Ishikawa,Everton,270.0
R. Kafaji,Brighton & Hove Albion,10.0
R. Mace,Everton,212.0
R. Maltby,Aston Villa,45.0
R. McLauchlan,Brighton & Hove Albion,152.0
R. Shimizu,Liverpool,18.0
R. Ueki,West Ham United,180.0
R. van Gool,Everton,207.0
S. Baltimore,Chelsea,121.0
S. Blackstenius,Arsenal,59.0
S. Catley,Arsenal,177.0
S. D'Angelo,Aston Villa,45.0
S. Franssi,London City Lionesses,41.0
S. Haug,Liverpool,25.0
S. Jakobsson,London City Lionesses,26.0
S. Kees,Leicester City,180.0
S. Kerr,Liverpool,159.0
S. Kerr,Chelsea,16.0
S. Kumagai,London City Lionesses,255.0
S. Lohmann,Manchester City,76.0
S. Lundgaard,Liverpool,90.0
S. Martinez,West Ham United,144.0
S. Mayling,Aston Villa,29.0
S. Nüsken,Chelsea,5.0
S. O’Brien,Leicester City,135.0
S. Piubel,West Ham United,88.0
S. Sherwood,Leicester City,-2.0
S. Tierney,Leicester City,180.0
S. Zadorsky,West Ham United,180.0
T. Goldie,London City Lionesses,8.0
T. Hinds,Arsenal,16.0
T. Koga,Tottenham Hotspur,270.0
T. Payne,Everton,93.0
V. Asseyi,West Ham United,180.0
V. Buurman,Chelsea,90.0
V. Hanshaw,West Ham United,154.0
V. Miedema,Manchester City,226.0
V. Pelova,Arsenal,72.0
W. Kaptein,Chelsea,130.0
W. Sangaré,London City Lionesses,197.0
Y. Hasegawa,Manchester City,270.0
Y. Momiki,Everton,188.0
