Player,Team,Assists,ShotAssists,xAG
L. Lindström,London City Lionesses LFC,0,2,0.12
L. Wilms,Aston Villa WFC,0,2,0.17
L. Woodham,Liverpool FCW,0,1,0.07
Leila Ouahabi,Manchester City WFC,1,2,0.37
Lucía Corrales,London City Lionesses LFC,0,2,0.47
M. Agyemang,Brighton & Hove Albion WFC,1,3,0.23
M. Auée,Brighton & Hove Albion WFC,0,1,0.1
M. Bright,Chelsea FC Women,0,1,0.08
M. Enderby,Liverpool FCW,0,1,0.04
M. Hamano,Chelsea FC Women,0,1,0.06
M. Höbinger,Liverpool FCW,1,3,0.58
M. Le Tissier,Manchester United WFC,1,1,0.32
M. Malard,Manchester United WFC,0,6,1.34
M. Minami,Brighton & Hove Albion WFC,0,2,0.08
M. Olislagers,Brighton & Hove Albion WFC,0,7,0.73
M. Pacheco,Everton FC,2,2,0.24
M. Symonds,Brighton & Hove Albion WFC,0,2,0.78
Mariona Caldentey,Arsenal WFC,2,10,1.58
Martina Fernández,Everton FC,0,3,0.25
María Pérez,London City Lionesses LFC,1,1,0.13
N. Björn,Chelsea FC Women,0,3,0.24
N. Layzell,Manchester City WFC,0,1,0.05
N. Maritz,Aston Villa WFC,0,4,0.52
N. Noordam,Brighton & Hove Albion WFC,1,0,0.06
N. Parris,London City Lionesses LFC,1,1,0.51
O. Ahtinen,Tottenham Hotspur FCW,0,1,0.05
O. Deslandes,Aston Villa WFC,0,2,0.13
O. Holdt,Tottenham Hotspur FCW,0,1,0.06
O. McLoughlin,Leicester City FC,0,2,0.08
O. Smith,Arsenal WFC,1,1,0.18
Ornella Vignola,Everton FC,0,2,0.1
Paula Tomás,Aston Villa WFC,0,1,0.25
R. Daly,Aston Villa WFC,0,1,0.05
R. Ishikawa,Everton FC,0,1,0.1
R. Kafaji,Brighton & Hove Albion WFC,2,1,1.37
R. Maltby,Aston Villa WFC,0,1,0.05
R. McLauchlan,Brighton & Hove Albion WFC,1,1,0.13
R. Ueki,West Ham United WFC,0,5,0.33
R. van Gool,Everton FC,0,1,0.1
S. Baltimore,Chelsea FC Women,0,4,0.78
S. Blackstenius,Arsenal WFC,0,2,0.18
S. Catley,Arsenal WFC,1,2,0.18
S. Franssi,London City Lionesses LFC,0,1,0.37
S. Haug,Liverpool FCW,0,1,0.09
S. Jakobsson,London City Lionesses LFC,0,1,0.08
S. Kerr,Chelsea FC Women,0,3,0.57
S. Kerr,Liverpool FCW,0,1,0.05
S. Martinez,West Ham United WFC,0,1,0.05
S. Mayling,Aston Villa WFC,0,1,0.1
S. Tierney,Leicester City FC,0,3,0.18
S. Zadorsky,West Ham United WFC,0,2,0.13
T. Hinds,Arsenal WFC,0,1,0.3
T. Koga,Tottenham Hotspur FCW,0,1,0.05
V. Asseyi,West Ham United WFC,0,7,0.67
V. Buurman,Chelsea FC Women,0,3,0.16
V. Hanshaw,West Ham United WFC,0,2,0.12
V. Miedema,Manchester City WFC,0,5,0.88
V. Pelova,Arsenal WFC,0,3,0.25
W. Kaptein,Chelsea FC Women,2,3,1.05
Y. Endo,West Ham United WFC,0,1,0.04
Y. Hasegawa,Manchester City WFC,0,6,1.3
Y. Momiki,Everton FC,0,3,0.19
