Player,Team,Passes,Total_xT,xT
S. Baltimore,Chelsea,126,0.21679053999999998,0.217
S. Blackstenius,Arsenal,30,-0.17369891,-0.174
S. Brasero-Carreira,West Ham United,3,0.0,0.0
S. Catley,Arsenal,255,0.11253297999999999,0.113
S. D'Angelo,Aston Villa,56,0.13279296000000002,0.133
S. Franssi,London City Lionesses,15,0.2357611,0.236
S. Haug,Liverpool,30,0.08251311000000001,0.083
S. Jakobsson,London City Lionesses,6,-0.017113709999999997,-0.017
S. Kees,Leicester City,120,0.34415545999999997,0.344
S. Kerr,Chelsea,12,0.24733033999999998,0.247
S. Kerr,Liverpool,68,0.06704579999999999,0.067
S. Kumagai,London City Lionesses,175,0.13857189,0.139
S. Lohmann,Manchester City,42,0.04570166,0.046
S. Martinez,West Ham United,41,0.16152012,0.162
S. Mayling,Aston Villa,9,0.030280359999999992,0.03
S. Nüsken,Chelsea,3,-0.002347740000000001,-0.002
S. O’Brien,Leicester City,16,-0.045433169999999995,-0.045
S. Piubel,West Ham United,25,0.005980470000000024,0.006
S. Sherwood,Leicester City,2,0.0009752800000000002,0.001
S. Tierney,Leicester City,138,0.37726016,0.377
S. Zadorsky,West Ham United,216,0.32998239,0.33
T. Goldie,London City Lionesses,10,0.02030308,0.02
T. Heron,Brighton & Hove Albion,2,-0.002630199999999999,-0.003
T. Hinds,Arsenal,46,0.08925019999999999,0.089
T. Koga,Tottenham Hotspur,263,0.22169311,0.222
T. Payne,Everton,31,0.23780448,0.238
V. Asseyi,West Ham United,111,0.37966927,0.38
V. Buurman,Chelsea,140,0.03121124,0.031
V. Hanshaw,West Ham United,85,0.04615722000000001,0.046
V. Miedema,Manchester City,89,-0.16561874999999998,-0.166
V. Pelova,Arsenal,35,0.58432736,0.584
W. Kaptein,Chelsea,97,0.33631030999999995,0.336
W. Sangaré,London City Lionesses,117,0.11115338,0.111
Y. Endo,West Ham United,16,0.09166450999999998,0.092
Y. Hasegawa,Manchester City,227,0.44221815999999997,0.442
Y. Momiki,Everton,117,0.47775291999999997,0.478
