Player,Team,Assists,ShotAssists,xAG
K. Louis,Montpellier HSC,0,2,0.1
K. Roche-Dufour,Paris FC,0,3,0.24
K. Shrader,OL Lyonnes,1,2,0.6
K. Taylor,Dijon FCO,0,2,0.11
L. Archier,Racing Club de Lens,0,2,0.13
L. Azzaro,Paris FC,0,3,0.32
L. Bourgouin,Olympique de Marseille,0,2,0.17
L. Calba,FC Nantes,0,1,0.09
L. Cance,Football Club Fleury 91,0,9,0.86
L. Declercq,Dijon FCO,0,3,0.16
L. Fleury,FC Nantes,1,3,0.25
L. Goetsch,Football Club Fleury 91,0,1,0.03
L. Gstalter,Montpellier HSC,1,4,0.29
L. Hannequin,RC Strasbourg Alsace,1,2,0.66
L. Heaps,OL Lyonnes,0,1,0.04
L. Joseph,OL Lyonnes,0,4,0.31
L. Khelifi,FC Nantes,0,3,0.23
L. Oillic,Racing Club de Lens,0,3,0.24
L. Pinot,Racing Club de Lens,0,1,0.03
L. Storti,FC Nantes,0,1,0.03
L. Sylejmani,RC Strasbourg Alsace,1,0,0.31
L. Yohannes,OL Lyonnes,0,1,0.08
M. Bethi,FC Nantes,2,0,0.2
M. Boucly,Le Havre AC,0,5,0.29
M. Bourdieu,Olympique de Marseille,0,3,0.13
M. Cosson,FC Nantes,0,2,0.14
M. Diop,RC Strasbourg Alsace,1,5,0.27
M. Dumornay,OL Lyonnes,0,5,0.4
M. Garbino,Paris FC,1,0,0.59
M. Hoeltzel,RC Strasbourg Alsace,1,0,0.1
M. Kanjinga,Paris Saint Germain FC,1,4,0.69
M. Katoto,OL Lyonnes,1,0,0.15
M. Le Mouël,Olympique de Marseille,0,1,0.03
M. Levasseur,Montpellier HSC,0,1,0.08
M. Mendy,Le Havre AC,0,1,0.09
M. Ngock,Football Club Fleury 91,0,1,0.07
M. Roth,Le Havre AC,3,1,0.88
M. Terchoun,Dijon FCO,0,2,0.08
M. Traoré,RC Strasbourg Alsace,0,1,0.03
M. Vairon,Dijon FCO,0,1,0.09
Morgane Martins,Football Club Fleury 91,0,1,0.07
N. Bamenga,Olympique de Marseille,0,2,0.12
N. Istocki,AS Saint-Étienne,0,1,0.03
N. Krezyman,Dijon FCO,0,9,0.58
N. Ngueleu,Montpellier HSC,0,4,0.51
N. Vagre,Racing Club de Lens,0,1,0.03
Olga Carmona,Paris Saint Germain FC,0,1,0.05
R. Ajibade,Paris Saint Germain FC,1,4,0.26
R. Corboz,AS Saint-Étienne,0,1,0.04
R. Enguehard,Le Havre AC,0,1,0.04
R. Lejeune,Racing Club de Lens,0,2,0.13
R. Leuchter,Paris Saint Germain FC,1,5,0.46
S. Bacha,OL Lyonnes,2,10,0.74
S. Cambot,AS Saint-Étienne,0,2,0.12
S. Enge,RC Strasbourg Alsace,1,0,0.05
S. Hornemann,AS Saint-Étienne,0,1,0.04
S. Jeudy,Racing Club de Lens,1,7,0.68
S. Karchaoui,Paris Saint Germain FC,0,4,0.27
S. Ouchene,Montpellier HSC,1,2,0.69
T. Chawinga,OL Lyonnes,1,0,0.05
T. Gallais,Le Havre AC,0,1,0.09
T. Laplacette,Olympique de Marseille,1,3,0.64
V. Bècho,OL Lyonnes,0,1,0.1
W. Fon,AS Saint-Étienne,0,1,0.1
Wang Yanwen,Dijon FCO,0,2,0.14
Wu Chengshu,Dijon FCO,0,2,0.12
Z. Stiévenart,Le Havre AC,0,6,0.49
É. De Almeida,Paris Saint Germain FC,1,3,0.16
É. Rambaud,Montpellier HSC,0,1,0.25
É. Tsé,Le Havre AC,0,1,0.04
