Player,Team,Minutes
D. Sheehan,Houston Dash,1642.0
D. Weatherholt,North Carolina Courage,278.0
Daiane,Portland Thorns,102.0
Debinha,Kansas City Current,1141.0
Dudinha,San Diego Wave,202.0
E. Adames,Seattle Reign,832.0
E. Allen,Bay,180.0
E. Ball,Kansas City Current,1023.0
E. Duljan,Houston Dash,433.0
E. Favour,San Diego Wave,65.0
E. Hase,Racing Louisville,1159.0
E. Jean,Racing Louisville,1620.0
E. Mason,Seattle Reign,331.0
E. Menges,Bay,260.0
E. Morgan,Washington Spirit,1656.0
E. Pikkujämsä,Racing Louisville,9.0
E. Sams,Orlando Pride,1733.0
E. Sears,Racing Louisville,1804.0
E. Shores,Angel City,657.0
E. Sonnett,Gotham FC,1800.0
E. Stevens,Gotham FC,645.0
E. Wheeler,Kansas City Current,1152.0
Esther González,Gotham FC,1681.0
F. Rauch,North Carolina Courage,672.0
Flora Marta Lacho,Kansas City Current,151.0
G. Carle,Washington Spirit,1823.0
G. Chanda,Orlando Pride,39.0
G. Corley,San Diego Wave,1258.0
G. Monday,Washington Spirit,1060.0
G. Robinson,Kansas City Current,46.0
G. Thompson,Angel City,1234.0
Gabi Portilho,Gotham FC,893.0
Geyse,Gotham FC,915.0
H. Anderson,Chicago Stars,398.0
H. Bebar,Bay,711.0
H. Betfort,North Carolina Courage,523.0
H. Glas,Seattle Reign,-3.0
H. Hershfelt,Washington Spirit,1004.0
H. Hopkins,Kansas City Current,313.0
H. Johnson,Angel City,29.0
H. Lundkvist,San Diego Wave,1700.0
H. MacNab,North Carolina Courage,-1.0
H. Mace,Kansas City Current,1344.0
H. Mackiewicz,Chicago Stars,271.0
H. McCutcheon,Orlando Pride,1768.0
H. Seabert,Angel City,360.0
H. Stainbrook,Washington Spirit,289.0
H. Sugita,Portland Thorns,1480.0
I. Dorsey,Utah Royals,543.0
I. Obaze,Portland Thorns,1283.0
I. Rodriguez,Kansas City Current,1671.0
J. Anderson,Bay,1225.0
J. Bike,Chicago Stars,416.0
J. Bloomer,Racing Louisville,1350.0
J. Brewster,Bay,25.0
J. Bugg,Seattle Reign,1700.0
J. Campbell,Houston Dash,1362.0
J. Carter,Gotham FC,1394.0
J. Doyle,Orlando Pride,358.0
J. Dufour,Portland Thorns,158.0
J. Dufour,Angel City,362.0
J. Endō,Angel City,222.0
J. Fishlock,Seattle Reign,673.0
J. Fleming,Portland Thorns,1266.0
J. Fusco,San Diego Wave,21.0
J. Gaynor,Chicago Stars,162.0
J. Grosso,Chicago Stars,1670.0
J. Hasbo,Gotham FC,194.0
J. Howell,Gotham FC,1710.0
J. Huitema,Seattle Reign,1259.0
J. Joseph,Chicago Stars,1137.0
J. Ovalle,Orlando Pride,225.0
J. Perry,Portland Thorns,1254.0
J. Shaw,North Carolina Courage,1002.0
J. Shaw,Gotham FC,45.0
J. Shepherd,Bay,221.0
J. Silkowitz,Bay,1620.0
J. Sonis,Racing Louisville,1605.0
J. Thomsen,Utah Royals,1410.0
Jereko,Kansas City Current,-2.0
Ji So-Yun,Seattle Reign,749.0
Jéssica Silva,Gotham FC,90.0
K. Abello,Orlando Pride,1171.0
K. Ascanio,San Diego Wave,1171.0
K. Carusa,San Diego Wave,304.0
K. Dali,San Diego Wave,1888.0
K. Del Fava,Utah Royals,1890.0
K. Dulaney,Washington Spirit,10.0
K. Duran,Gotham FC,10.0
K. Fischer,Racing Louisville,980.0
K. Fuller,Angel City,1608.0
K. Harper,Gotham FC,210.0
K. Hendrich,Chicago Stars,647.0
K. Hubly,Bay,655.0
K. Kurtz,North Carolina Courage,1890.0
K. Lema,Bay,889.0
K. Lind,Houston Dash,1165.0
K. Lund,Racing Louisville,540.0
K. McNabb,San Diego Wave,1393.0
K. Nadaner,Orlando Pride,1511.0
K. O'Kane,Racing Louisville,1026.0
K. Pickett,Bay,956.0
K. Ream,Utah Royals,180.0
K. Riehl,Utah Royals,734.0
K. Sharples,Kansas City Current,1890.0
K. Sheridan,San Diego Wave,1800.0
K. Stengel,Gotham FC,237.0
K. Sylla,Washington Spirit,152.0
K. Torpey,Portland Thorns,949.0
K. Wesley,San Diego Wave,1346.0
K. Wiesner,Washington Spirit,455.0
K. Zelem,Angel City,587.0
K. van Zanten,Houston Dash,778.0
L. Barnes,Seattle Reign,1226.0
L. Biyendolo,Seattle Reign,800.0
L. Boattin,Houston Dash,31.0
L. Fazer,San Diego Wave,144.0
L. Flynn,Utah Royals,608.0
L. Ivory,Kansas City Current,180.0
L. LaBonta,Kansas City Current,1514.0
L. Milliet,Racing Louisville,1192.0
L. Nabet,Angel City,0.0
L. Nesbeth,Chicago Stars,127.0
L. Reale,Gotham FC,1676.0
L. Santos,Washington Spirit,887.0
Lorena,Kansas City Current,1710.0
Luana,Orlando Pride,21.0
Ludmila,Chicago Stars,1520.0
M. A. Vignola,Angel City,1329.0
M. Alidou,Portland Thorns,654.0
M. Alozie,Houston Dash,428.0
M. Arnold,Portland Thorns,1260.0
M. Barcenas,San Diego Wave,467.0
M. Bell,North Carolina Courage,1593.0
M. Berkely,North Carolina Courage,894.0
M. Berkely,Houston Dash,90.0
M. Boade,Washington Spirit,103.0
M. Bright,Houston Dash,970.0
M. Cluff,Utah Royals,156.0
M. Cooper,Kansas City Current,946.0
M. Crone,Orlando Pride,130.0
M. Curry,Seattle Reign,1664.0
M. Dahlien,Seattle Reign,1474.0
M. Detrizio,Washington Spirit,2.0
M. DiGrande,Racing Louisville,594.0
M. Fishel,Seattle Reign,194.0
M. Fraser,Utah Royals,190.0
M. Freeman,Gotham FC,941.0
M. Gautrat,Orlando Pride,668.0
M. Graham,Houston Dash,1521.0
M. Hammond,Angel City,917.0
M. Hayashi,Chicago Stars,526.0
M. Hodge,Angel City,719.0
M. Johnson,Chicago Stars,138.0
M. Jordan,North Carolina Courage,270.0
M. Justus,Utah Royals,90.0
M. Long,Kansas City Current,100.0
M. Matsukubo,North Carolina Courage,1680.0
M. McGlynn,Utah Royals,1800.0
M. McKenzie,Portland Thorns,783.0
M. Mercado,Seattle Reign,348.0
M. Moreau,Bay,345.0
M. Moriya,Angel City,1020.0
M. Morris,Racing Louisville,158.0
M. Morris,Washington Spirit,862.0
M. Pogarch,Utah Royals,598.0
M. Purce,Gotham FC,543.0
M. Reid,Angel City,789.0
M. Robbe,San Diego Wave,371.0
M. Speck,North Carolina Courage,248.0
M. Sánchez,San Diego Wave,571.0
M. Tanaka,Utah Royals,1538.0
M. Whitham,Gotham FC,51.0
Maiara Niehues,Angel City,276.0
Maitane López,Chicago Stars,1409.0
Marta,Orlando Pride,1446.0
N. Jacobs,North Carolina Courage,0.0
N. Jacobs,Houston Dash,1358.0
N. Kuikka,Chicago Stars,348.0
N. Martin,Angel City,135.0
N. Martin,Gotham FC,1060.0
N. Miura,Washington Spirit,1357.0
N. Mondésir,Seattle Reign,674.0
N. Prince,Kansas City Current,603.0
N. Staude,North Carolina Courage,661.0
None,Portland Thorns,1890.0
None,Angel City,1890.0
None,Orlando Pride,1890.0
None,Kansas City Current,1890.0
None,North Carolina Courage,1890.0
None,Gotham FC,1800.0
None,Seattle Reign,1890.0
None,Utah Royals,1890.0
None,Houston Dash,1890.0
None,Racing Louisville,1890.0
None,Chicago Stars,1890.0
None,Bay,1800.0
None,San Diego Wave,1890.0
None,Washington Spirit,1890.0
Nuria Rábano,Utah Royals,1326.0
Nádia Gomes,Chicago Stars,321.0
O. Moultrie,Portland Thorns,1717.0
O. Van der Jagt,Seattle Reign,19.0
Oihane Hernández,Orlando Pride,800.0
P. Chilufya,Orlando Pride,511.0
P. Hocking,Bay,718.0
P. Linnehan,Portland Thorns,432.0
P. Linnehan,North Carolina Courage,171.0
P. McClernon,Seattle Reign,1789.0
P. Metayer,Washington Spirit,272.0
P. Monaghan,Utah Royals,658.0
P. Morroni,San Diego Wave,1729.0
P. Nielsen,Houston Dash,1767.0
P. Tordin,Portland Thorns,748.0
Q. McMahon,San Diego Wave,-2.0
R. Bachmann,Houston Dash,37.0
R. Bernal,Washington Spirit,1522.0
R. Campbell,Gotham FC,93.0
R. Gareis,Houston Dash,926.0
R. Hill,Bay,966.0
R. Jackson,North Carolina Courage,1520.0
R. Kouassi,Washington Spirit,855.0
R. Kundananji,Bay,1620.0
R. Lavelle,Gotham FC,524.0
R. Reyes,Portland Thorns,1758.0
R. Rodríguez,Kansas City Current,697.0
R. Tiernan,Angel City,1834.0
R. Turner,Portland Thorns,1422.0
R. Williams,North Carolina Courage,1890.0
Rafaelle,Orlando Pride,453.0
S. Cantore,Washington Spirit,414.0
S. Cary,Chicago Stars,125.0
S. Charley,Orlando Pride,140.0
S. Coffey,Portland Thorns,1772.0
S. Collins,Bay,225.0
S. Cook,Gotham FC,144.0
S. DeMelo,Racing Louisville,1421.0
S. Doorsoun,Angel City,199.0
S. Gorden,Angel City,1823.0
S. Groom,Chicago Stars,788.0
S. Hiatt,Portland Thorns,1508.0
S. Hirst,Portland Thorns,129.0
S. Holmes,Seattle Reign,834.0
S. Huerta,Seattle Reign,720.0
S. Jackson,Orlando Pride,192.0
S. Jones,Utah Royals,7.0
S. Jónsdóttir,Angel City,705.0
S. King,Angel City,711.0
S. Koyama,North Carolina Courage,999.0
S. MacIver,Washington Spirit,90.0
S. Mattice,Angel City,19.0
S. McCaskill,San Diego Wave,1792.0
S. Menti,Seattle Reign,800.0
S. Meza,Seattle Reign,1505.0
S. Nyamekye,Gotham FC,24.0
S. Puntigam,Houston Dash,325.0
S. Schmidt,Houston Dash,217.0
S. Schupansky,Gotham FC,1227.0
S. Staab,Chicago Stars,1713.0
S. Weber,Racing Louisville,1150.0
S. Yates,Orlando Pride,495.0
T. Armstrong,San Diego Wave,1451.0
T. Boade,Bay,604.0
T. Chawinga,Kansas City Current,1649.0
T. Davidson,Gotham FC,223.0
T. Flint,Racing Louisville,1704.0
T. Huff,Bay,1721.0
T. Lussi,North Carolina Courage,963.0
T. Malham,Chicago Stars,1890.0
T. McKeown,Washington Spirit,1826.0
T. Rodman,Washington Spirit,662.0
T. Torres,Gotham FC,762.0
U. Kanu,Racing Louisville,61.0
V. DiBernardo,Kansas City Current,888.0
V. Villacorta,Orlando Pride,170.0
Y. Ryan,Houston Dash,1710.0
Z. Chavoshi,Orlando Pride,356.0
