id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/16/value,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2736282611,9,1,1,0,20,8l30dsub3sutr6j3ruvk650xc,1,19.3,89.9,2024-10-20T11:15:35.174Z,2024-10-20T11:15:36Z,5298239229,212,10.3,5298239221,56,Back,5298239237,1,,5298239219,157,,5298239233,213,0.25,5298239225,141,93.6,5298239223,140,28.8,,,,6f8lpm5ckuv4z0tbur533qpxx,D. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282623,10,44,1,0,21,8l30dsub3sutr6j3ruvk650xc,1,33.1,89.8,2024-10-20T11:15:35.692Z,2024-10-20T16:31:10Z,5298239327,233,3,5298239275,285,,5298239273,56,Back,,,,,,,,,,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282595,3,44,1,0,21,36tr17foeaf9ejjmt2txuoy3y,0,66.9,10.2,2024-10-20T11:15:35.693Z,2024-10-20T16:31:10Z,5298239137,56,Right,5298239139,286,,5298239341,233,10,,,,,,,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282629,11,1,1,0,21,8l30dsub3sutr6j3ruvk650xc,0,37.2,94.4,2024-10-20T11:15:35.949Z,2024-10-20T11:56:57Z,5298239301,141,88.1,5298239305,213,5.69,5298239303,212,7.7,5298239295,168,,5298239293,3,,5298239299,140,43.3,5298239297,56,Back,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736286133,67,1,1,0,23,36tr17foeaf9ejjmt2txuoy3y,1,58.8,11.9,2024-10-20T11:15:38.179Z,2024-10-20T11:21:06Z,5298259461,56,Right,5298259459,3,,5298259469,213,5.90,5298259467,212,7.5,5298259465,141,7.8,5298259463,140,65.4,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282651,4,44,1,0,24,36tr17foeaf9ejjmt2txuoy3y,1,68.9,8.8,2024-10-20T11:15:38.580Z,2024-10-20T16:31:10Z,5298239415,286,,5298239413,56,Right,5298239439,233,12,,,,,,,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282645,12,44,1,0,24,8l30dsub3sutr6j3ruvk650xc,0,31.1,91.2,2024-10-20T11:15:38.581Z,2024-10-20T16:31:10Z,5298239385,56,Back,5298239459,233,4,5298239387,285,,,,,,,,,,,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282673,5,1,1,0,24,36tr17foeaf9ejjmt2txuoy3y,0,63.4,8.8,2024-10-20T11:15:39.083Z,2024-10-20T11:15:40Z,5298239505,140,68.6,5298239503,56,Right,5298239511,213,0.88,5298239501,3,,5298239509,212,8.6,5298239507,141,18.5,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282713,13,1,1,0,26,8l30dsub3sutr6j3ruvk650xc,1,26.3,77.9,2024-10-20T11:15:41.253Z,2024-10-20T11:15:43Z,5298239727,212,11.9,5298239729,213,6.28,5298239719,3,,5298239725,141,77.8,5298239723,140,37.6,5298239721,56,Back,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282731,14,1,1,0,28,8l30dsub3sutr6j3ruvk650xc,0,37.6,77.8,2024-10-20T11:15:42.965Z,2024-10-20T11:15:44Z,5298239825,168,,5298239823,3,,5298239831,141,82.6,5298239829,140,57.7,5298239827,56,Left,5298239835,213,0.15,5298239833,212,21.4,,,,bpmtdn2uqnwhllfnm59ck6rit,Gabi Nunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282767,6,1,1,0,30,36tr17foeaf9ejjmt2txuoy3y,1,44.7,22.5,2024-10-20T11:15:44.393Z,2024-10-20T11:15:46Z,5298239997,56,Back,5298239999,140,25.4,5298240001,141,41.9,5298240003,212,24.2,5298240005,213,2.56,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282775,7,49,1,0,31,36tr17foeaf9ejjmt2txuoy3y,1,25.4,42.1,2024-10-20T11:15:46.233Z,2024-10-20T11:15:46Z,,,,,,,,,,,,,,,,,,,,,,,,,1vejfm6fcp0xeyk30r6hv79wp,A. Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282845,8,1,1,0,35,36tr17foeaf9ejjmt2txuoy3y,1,25.2,43.7,2024-10-20T11:15:49.529Z,2024-10-20T11:15:53Z,5298240411,141,61.2,5298240407,56,Back,5298240409,140,30.2,5298240415,213,1.16,5298240413,212,13.0,,,,,,,,,,1vejfm6fcp0xeyk30r6hv79wp,A. Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282893,9,1,1,0,39,36tr17foeaf9ejjmt2txuoy3y,1,34.5,61.7,2024-10-20T11:15:53.753Z,2024-10-20T11:15:56Z,5298240697,212,7.3,5298240699,213,0.98,5298240691,56,Back,5298240693,140,38.4,5298240695,141,70.6,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282921,10,1,1,0,42,36tr17foeaf9ejjmt2txuoy3y,1,38.4,70.6,2024-10-20T11:15:56.521Z,2024-10-20T11:23:49Z,5298240861,141,89.4,5298240857,56,Back,5298240859,140,30.9,5298240865,213,2.12,5298240863,212,15.0,5298268711,156,,,,,,,,23kah59nbx1m7ro3imaaevoph,J. Roord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282967,11,1,1,0,44,36tr17foeaf9ejjmt2txuoy3y,1,30.9,89.4,2024-10-20T11:15:58.681Z,2024-10-20T11:16:03Z,5298241171,140,28.9,5298241169,56,Back,5298241177,213,4.53,5298241173,141,73.0,5298241175,212,11.3,,,,,,,,,,bmw6mvkeropjorm2rxzw2fzai,J. Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282987,12,1,1,0,49,36tr17foeaf9ejjmt2txuoy3y,1,39.5,72.4,2024-10-20T11:16:03.353Z,2024-10-20T11:16:06Z,5298241341,141,72.6,5298241343,212,17.5,5298241345,213,0.01,5298241337,56,Center,5298241339,140,56.2,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736282997,13,1,1,0,51,36tr17foeaf9ejjmt2txuoy3y,1,56.2,72.6,2024-10-20T11:16:06.009Z,2024-10-20T11:16:07Z,5298241431,141,88.6,5298241429,140,54.4,5298241427,56,Left,5298241433,212,11.0,5298241435,213,1.74,,,,,,,,,,10d8jj5vwrmib55tth0isfvft,L. Hemp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283051,14,1,1,0,52,36tr17foeaf9ejjmt2txuoy3y,1,55,89.7,2024-10-20T11:16:07.097Z,2024-10-20T11:16:13Z,5298241793,56,Back,5298241795,140,41.6,5298241801,213,3.64,5298241799,212,16.0,5298241797,141,78.5,,,,,,,,,,eb0h79vh5dwggjx7shj0ovetx,Leila Ouahabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283071,15,1,1,0,59,36tr17foeaf9ejjmt2txuoy3y,1,33.4,66.3,2024-10-20T11:16:13.832Z,2024-10-20T11:16:15Z,5298241921,213,4.44,5298241917,141,49.0,5298241919,212,12.2,5298241913,56,Back,5298241915,140,30.3,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283079,16,1,1,1,1,36tr17foeaf9ejjmt2txuoy3y,1,30.3,47.6,2024-10-20T11:16:15.769Z,2024-10-20T11:16:16Z,5298241969,140,34.7,5298241967,56,Back,5298241971,141,30.4,5298241973,212,12.6,5298241975,213,5.09,,,,,,,,,,1vejfm6fcp0xeyk30r6hv79wp,A. Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283093,17,1,1,1,2,36tr17foeaf9ejjmt2txuoy3y,1,34.7,30.4,2024-10-20T11:16:16.616Z,2024-10-20T11:16:19Z,5298242033,141,46.0,5298242035,212,11.1,5298242037,213,1.88,5298242029,56,Back,5298242031,140,31.5,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283109,18,1,1,1,5,36tr17foeaf9ejjmt2txuoy3y,1,30.6,46.6,2024-10-20T11:16:19.721Z,2024-10-20T11:16:22Z,5298242105,56,Back,5298242113,213,1.37,5298242109,141,63.0,5298242107,140,32.8,5298242111,212,11.4,,,,,,,,,,1vejfm6fcp0xeyk30r6hv79wp,A. Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283121,19,1,1,1,8,36tr17foeaf9ejjmt2txuoy3y,1,28.4,57.8,2024-10-20T11:16:22.729Z,2024-10-20T11:16:24Z,5298242205,56,Back,5298242213,213,4.96,5298242209,141,23.6,5298242207,140,34.0,5298242211,212,24.0,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283151,20,1,1,1,10,36tr17foeaf9ejjmt2txuoy3y,1,34,23.6,2024-10-20T11:16:24.793Z,2024-10-20T11:16:27Z,5298242351,140,40.7,5298242347,56,Back,5298242359,212,9.0,5298242363,213,5.61,5298242355,141,15.3,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283233,21,1,1,1,12,36tr17foeaf9ejjmt2txuoy3y,1,40.1,15.2,2024-10-20T11:16:27.176Z,2024-10-20T11:16:33Z,5298242811,56,Right,5298242819,213,6.00,5298242817,212,29.0,5298242813,140,66.6,5298242815,141,3.2,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283259,22,1,1,1,15,36tr17foeaf9ejjmt2txuoy3y,1,66.6,3.2,2024-10-20T11:16:29.936Z,2024-10-20T11:25:25Z,5298242945,212,5.0,5298242943,141,8.6,5298242939,56,Right,5298242947,213,0.83,5298242941,140,69.8,,,,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283275,23,1,1,1,16,36tr17foeaf9ejjmt2txuoy3y,1,69.8,8.6,2024-10-20T11:16:31.248Z,2024-10-20T11:25:39Z,5298243017,56,Right,5298243019,140,63.5,5298243023,212,7.2,5298243025,213,3.53,5298243021,141,4.6,,,,,,,,,,brflebs8m00rgali2owyoyove,M. Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283245,15,83,1,1,19,8l30dsub3sutr6j3ruvk650xc,0,37.3,96,2024-10-20T11:16:33.749Z,2024-10-20T11:25:51Z,5298243175,399,8hq106ex872xezlr1j901kpux,,,,,,,,,,,,,,,,,,,,,,cpvbitkove7bavl96lkgs1vc9,K. Hanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283291,24,1,1,1,21,36tr17foeaf9ejjmt2txuoy3y,1,59,3.9,2024-10-20T11:16:35.689Z,2024-10-20T11:25:49Z,5298243107,213,6.18,5298243099,141,2.9,5298243091,56,Right,5298243095,140,65.0,5298243103,212,6.3,,,,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283313,25,1,1,1,22,36tr17foeaf9ejjmt2txuoy3y,0,69.6,8.5,2024-10-20T11:16:36.297Z,2024-10-20T11:16:37Z,5298243207,213,0.74,5298243201,140,87.0,5298243203,141,32.8,5298243205,212,24.6,5298243199,56,Center,,,,,,,,,,brflebs8m00rgali2owyoyove,M. Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283333,16,52,1,1,24,8l30dsub3sutr6j3ruvk650xc,1,12.1,62.3,2024-10-20T11:16:38.565Z,2024-10-20T15:38:13Z,5299852075,376,,,,,,,,,,,,,,,,,,,,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283485,17,1,1,1,36,8l30dsub3sutr6j3ruvk650xc,1,12.5,66,2024-10-20T11:16:51.181Z,2024-10-20T11:26:49Z,5298244187,189,,5298244161,123,,5298244169,212,24.9,5298244167,141,33.6,5298244165,140,23.5,5298244163,56,Back,5298244171,213,5.20,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736289973,92,1,1,1,37,8l30dsub3sutr6j3ruvk650xc,1,35.8,11.7,2024-10-20T11:16:51.687Z,2024-10-20T11:27:08Z,5298279907,213,2.34,5298279905,212,11.3,5298279903,141,23.7,5298280075,189,,5298279901,140,28.3,5298279899,56,Back,,,,,,,1dbhha29epjmo8g4xfm5taaj9,J. Nobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283529,18,1,1,1,39,8l30dsub3sutr6j3ruvk650xc,1,23.6,33.6,2024-10-20T11:16:54.213Z,2024-10-20T11:16:57Z,5298244383,56,Back,5298244385,140,12.8,5298244387,141,56.3,5298244391,213,2.20,5298244389,212,19.2,,,,,,,,,,cnq88jph2nrn0o2tosrp4rmxh,L. Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283553,19,1,1,1,43,8l30dsub3sutr6j3ruvk650xc,0,12.8,59.9,2024-10-20T11:16:57.766Z,2024-10-20T15:38:25Z,5298244521,212,32.1,5299853469,155,,5298244519,141,100.0,5298244517,140,27.0,5298244515,56,Back,5298244525,1,,5298244523,213,1.09,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283555,20,5,1,1,46,8l30dsub3sutr6j3ruvk650xc,0,30.3,101.8,2024-10-20T11:17:00.386Z,2024-10-20T11:44:48Z,5298245139,233,26,5298244529,347,,5298244527,56,Back,,,,,,,,,,,,,,,,e0gysmymetthyhdkn2q54l51x,S. D'Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283665,26,5,1,1,46,36tr17foeaf9ejjmt2txuoy3y,1,69.7,-1.8,2024-10-20T11:17:00.386Z,2024-10-20T11:44:48Z,5298245127,233,20,5298245087,56,Right,5298245089,347,,,,,,,,,,,,,,,,,brflebs8m00rgali2owyoyove,M. Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283703,27,1,1,1,55,36tr17foeaf9ejjmt2txuoy3y,1,65.8,0,2024-10-20T11:17:10.005Z,2024-10-20T11:17:14Z,5298245309,141,3.4,5298245307,140,46.7,5298245313,213,2.99,5298245305,56,Back,5298245303,107,,5298245311,212,20.3,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283735,28,1,1,2,0,36tr17foeaf9ejjmt2txuoy3y,1,46.6,7.7,2024-10-20T11:17:14.697Z,2024-10-20T11:17:17Z,5298245495,213,6.06,5298245493,212,16.6,5298245491,141,2.3,5298245487,56,Right,5298245489,140,62.0,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283777,29,1,1,2,2,36tr17foeaf9ejjmt2txuoy3y,1,60.2,4.1,2024-10-20T11:17:17.065Z,2024-10-20T11:17:20Z,5298245689,56,Back,5298245691,140,38.3,5298245697,213,2.89,5298245695,212,23.8,5298245693,141,12.9,,,,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283819,30,1,1,2,6,36tr17foeaf9ejjmt2txuoy3y,1,37.7,13.1,2024-10-20T11:17:20.393Z,2024-10-20T11:17:23Z,5298245883,141,41.2,5298245885,212,21.3,5298245887,213,2.03,5298245879,56,Back,5298245881,140,28.8,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283861,31,1,1,2,8,36tr17foeaf9ejjmt2txuoy3y,1,26.6,43.6,2024-10-20T11:17:23.224Z,2024-10-20T11:17:27Z,5298246095,141,58.8,5298246093,140,29.8,5298246097,212,10.9,5298246099,213,1.26,5298246091,56,Back,,,,,,,,,,1vejfm6fcp0xeyk30r6hv79wp,A. Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736283893,32,1,1,2,13,36tr17foeaf9ejjmt2txuoy3y,1,31.6,54.2,2024-10-20T11:17:27.689Z,2024-10-20T11:17:32Z,5298246259,140,23.2,5298246257,56,Back,5298246263,212,9.9,5298246265,213,3.61,5298246261,141,47.6,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
