id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2733374867,3,55,1,0,14,5rurqie3qt1qav9ir5mkqinn,1,28.9,50.3,2024-10-12T12:45:31.653Z,2024-10-12T12:51:53Z,,,,,,,,,,,,,,,,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374979,4,1,1,0,42,5rurqie3qt1qav9ir5mkqinn,1,27.4,54.8,2024-10-12T12:45:59.677Z,2024-10-12T12:48:08Z,5282434797,212,31.2,5282434799,213,1.11,5282434793,140,40.7,5282434791,56,Back,5282434789,241,,5282434787,5,,5282434795,141,95.9,5282438621,189,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733374985,5,1,1,0,44,5rurqie3qt1qav9ir5mkqinn,1,42.3,95.9,2024-10-12T12:46:01.620Z,2024-10-12T12:48:24Z,5282438971,189,,5282438919,141,93.4,5282438923,213,3.42,5282438917,140,36.6,5282438921,212,6.2,5282434819,56,Back,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375017,6,1,1,0,46,5rurqie3qt1qav9ir5mkqinn,1,32.5,82.9,2024-10-12T12:46:04.046Z,2024-10-12T12:46:08Z,5282434993,213,4.18,5282434985,56,Back,5282434991,212,30.8,5282434989,141,43.9,5282434987,140,17.5,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375021,7,1,1,0,51,5rurqie3qt1qav9ir5mkqinn,1,15.4,44.3,2024-10-12T12:46:08.494Z,2024-10-12T12:46:09Z,5282435021,141,45.4,5282435019,140,24.9,5282435025,213,0.07,5282435023,212,10.0,5282435017,56,Back,,,,,,,,,,c8jqnf6qf93zkyzdxtz20tgix,D. van Domselaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375043,8,1,1,0,51,5rurqie3qt1qav9ir5mkqinn,1,24.9,45.4,2024-10-12T12:46:09.165Z,2024-10-12T12:46:11Z,5282435099,56,Back,5282435101,140,12.8,5282435103,141,43.4,5282435107,213,3.25,5282435105,212,12.8,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375063,9,1,1,0,53,5rurqie3qt1qav9ir5mkqinn,1,12.8,43.4,2024-10-12T12:46:11.294Z,2024-10-12T12:46:16Z,5282435209,141,20.3,5282435207,140,27.7,5282435211,212,22.2,5282435213,213,5.50,5282435205,56,Back,,,,,,,,,,c8jqnf6qf93zkyzdxtz20tgix,D. van Domselaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375079,10,1,1,0,58,5rurqie3qt1qav9ir5mkqinn,1,32.2,17.4,2024-10-12T12:46:16.158Z,2024-10-12T12:46:26Z,5282435303,141,7.3,5282435299,140,55.7,5282435311,213,6.01,5282435307,212,25.6,5282435295,56,Right,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375083,9,45,1,0,59,spi3g782q7m4evjxn1sv6cfa,0,43.2,93.2,2024-10-12T12:46:17.166Z,2024-10-12T12:58:04Z,5282435325,285,,5282435323,56,Back,5282435355,233,11,,,,,,,,,,,,,,,,1cfhmihovl78l8osqbo1w9nth,G. Reiten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375089,11,3,1,0,59,5rurqie3qt1qav9ir5mkqinn,1,56.8,6.8,2024-10-12T12:46:17.166Z,2024-10-12T16:06:28Z,5282435345,233,9,5282435343,286,,5282435341,56,Right,5282933241,464,,,,,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375111,12,1,1,1,0,5rurqie3qt1qav9ir5mkqinn,1,49.3,10.3,2024-10-12T12:46:18.270Z,2024-10-12T12:46:22Z,5282435477,213,3.16,5282435467,140,26.7,5282435469,141,9.5,5282435473,212,23.7,5282435465,56,Back,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375119,13,1,1,1,4,5rurqie3qt1qav9ir5mkqinn,1,34.7,13.8,2024-10-12T12:46:22.061Z,2024-10-12T12:46:26Z,5282435567,56,Back,5282435569,140,33.9,5282435573,212,15.1,5282435575,213,1.63,5282435571,141,36.0,,,,,,,,,,6zaowm8oua2nzpobekogff1lh,L. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375135,14,1,1,1,9,5rurqie3qt1qav9ir5mkqinn,1,36,36.7,2024-10-12T12:46:27.310Z,2024-10-12T12:46:28Z,5282435655,140,36.6,5282435661,213,1.54,5282435653,56,Back,5282435657,141,64.0,5282435659,212,18.6,,,,,,,,,,5m2ilglr6tlmgs2d4qzk5wno5,K. Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375141,15,1,1,1,10,5rurqie3qt1qav9ir5mkqinn,1,36.6,64,2024-10-12T12:46:28.397Z,2024-10-12T12:46:30Z,5282435699,140,41.8,5282435697,56,Back,5282435705,213,1.26,5282435703,212,17.6,5282435701,141,88.6,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375167,16,1,1,1,12,5rurqie3qt1qav9ir5mkqinn,1,42.1,86.9,2024-10-12T12:46:30.029Z,2024-10-12T12:46:33Z,5282435853,213,5.96,5282435851,212,24.3,5282435847,140,64.0,5282435849,141,75.4,5282435845,56,Center,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375175,17,1,1,1,16,5rurqie3qt1qav9ir5mkqinn,1,62.8,82.1,2024-10-12T12:46:33.790Z,2024-10-12T12:46:35Z,5282435885,212,11.5,5282435883,141,67.0,5282435879,56,Center,5282435881,140,57.8,5282435887,213,4.24,,,,,,,,,,6291bj0xqq1w2631bajrpeb4l,Mariona Caldentey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375185,18,1,1,1,17,5rurqie3qt1qav9ir5mkqinn,1,57.8,68.7,2024-10-12T12:46:35.374Z,2024-10-12T12:46:37Z,5282435949,212,18.3,5282435947,141,95.0,5282435951,213,1.77,5282435943,56,Left,5282435945,140,54.3,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375193,19,1,1,1,20,5rurqie3qt1qav9ir5mkqinn,1,54.3,95,2024-10-12T12:46:37.486Z,2024-10-12T12:46:39Z,5282435999,141,74.5,5282435997,140,66.8,5282435995,56,Center,5282436003,213,5.47,5282436001,212,19.1,,,,,,,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375205,20,1,1,1,21,5rurqie3qt1qav9ir5mkqinn,1,66.8,74.5,2024-10-12T12:46:39.150Z,2024-10-12T12:46:40Z,5282436069,212,7.4,5282436067,141,82.7,5282436063,56,Left,5282436065,140,71.5,5282436071,213,0.85,,,,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375221,21,1,1,1,23,5rurqie3qt1qav9ir5mkqinn,1,74.4,84.2,2024-10-12T12:46:40.686Z,2024-10-12T12:46:43Z,5282436163,212,14.6,5282436165,213,0.30,5282436157,56,Left,5282436159,140,87.7,5282436161,141,90.5,,,,,,,,,,6291bj0xqq1w2631bajrpeb4l,Mariona Caldentey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375235,22,1,1,1,25,5rurqie3qt1qav9ir5mkqinn,0,88.8,90.6,2024-10-12T12:46:43.022Z,2024-10-12T16:06:47Z,5282436255,141,56.4,5282933813,72,,5282933811,224,,5282436257,212,23.3,5282436259,213,4.63,5282436253,140,87.0,5282436251,56,Center,5282436247,2,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,5282436249,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375239,10,12,1,1,27,spi3g782q7m4evjxn1sv6cfa,1,7.5,38.8,2024-10-12T12:46:45.316Z,2024-10-12T12:46:46Z,5282436275,140,8.0,5282436273,56,Back,5282436287,15,,5282436285,213,1.51,5282436281,212,9.3,5282436277,141,52.5,,,,,,,4wxqckb43bkeobwanys62zvmd,K. Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375255,23,44,1,1,30,5rurqie3qt1qav9ir5mkqinn,1,91.8,47.9,2024-10-12T12:46:47.646Z,2024-10-12T12:58:05Z,5282436413,233,11,5282436373,56,Center,5282436375,286,,,,,,,,,,,,,,,,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375259,11,44,1,1,30,spi3g782q7m4evjxn1sv6cfa,0,8.2,52.1,2024-10-12T12:46:47.647Z,2024-10-12T12:58:05Z,5282436417,233,23,5282436379,56,Back,5282436381,285,,,,,,,,,,,,,,,,,dm9vc2mqtbb982sx6kkd992ax,S. Baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375263,24,13,1,1,30,5rurqie3qt1qav9ir5mkqinn,1,92.6,48.5,2024-10-12T12:46:48.045Z,2024-10-12T12:52:52Z,5282436865,85,,5282436389,17,,5282436875,231,49.5,5282436873,230,99.1,5282436871,458,,5282436869,103,55.6,5282436393,56,Center,5282436385,22,,3sn815dsm0i0rnw9nigjyb0et,B. Mead,5282436701,15,5282436705,328,5282436867,102,48.1,5282444301,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375273,12,5,1,1,32,spi3g782q7m4evjxn1sv6cfa,1,-0.2,48.8,2024-10-12T12:46:49.780Z,2024-10-12T12:52:17Z,5282436619,233,25,5282436445,346,,5282436443,56,Back,,,,,,,,,,,,,,,,dm9vc2mqtbb982sx6kkd992ax,S. Baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375303,25,5,1,1,32,5rurqie3qt1qav9ir5mkqinn,0,100.2,51.2,2024-10-12T12:46:49.780Z,2024-10-12T12:57:58Z,5282436623,233,12,5282436587,56,Center,5282436591,346,,,,,,,,,,,,,,,,,6291bj0xqq1w2631bajrpeb4l,Mariona Caldentey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375477,13,1,1,2,8,spi3g782q7m4evjxn1sv6cfa,1,3.6,55.1,2024-10-12T12:47:25.510Z,2024-10-12T12:53:15Z,5282437611,237,,5282437601,140,25.9,5282437603,141,60.8,5282437607,213,0.16,5282437605,212,23.7,5282437599,56,Back,5282437597,124,,5282444893,189,,6bejfvxorcqyawi2fmk2kbco9,H. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375479,14,1,1,2,10,spi3g782q7m4evjxn1sv6cfa,1,25,64.5,2024-10-12T12:47:27.524Z,2024-10-12T12:53:21Z,5282437615,140,30.6,5282437627,213,5.40,5282437613,56,Back,5282445029,189,,5282437623,212,9.2,5282437619,141,54.0,,,,,,,7np6c6939ms55m37juqvw0oa,W. Kaptein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375493,15,1,1,2,10,spi3g782q7m4evjxn1sv6cfa,1,30.6,54,2024-10-12T12:47:28.197Z,2024-10-12T12:53:40Z,5282437685,212,9.4,5282437683,141,67.5,5282437681,140,32.3,5282437679,56,Back,5282437687,213,1.38,,,,,,,,,,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375503,16,1,1,2,13,spi3g782q7m4evjxn1sv6cfa,1,29,72.3,2024-10-12T12:47:30.868Z,2024-10-12T12:53:43Z,5282437731,141,75.0,5282437733,212,7.6,5282437735,213,2.90,5282437729,140,22.0,5282437727,56,Back,,,,,,,,,,7np6c6939ms55m37juqvw0oa,W. Kaptein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375515,17,1,1,2,17,spi3g782q7m4evjxn1sv6cfa,1,26,66.7,2024-10-12T12:47:34.564Z,2024-10-12T12:47:38Z,5282437809,212,24.8,5282437807,141,30.6,5282437805,140,29.4,5282437803,56,Back,5282437811,213,4.86,,,,,,,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375521,18,1,1,2,20,spi3g782q7m4evjxn1sv6cfa,1,38.9,16.5,2024-10-12T12:47:38.179Z,2024-10-12T12:47:41Z,5282437865,212,9.7,5282437859,56,Back,5282437867,213,4.98,5282437863,141,2.8,5282437861,140,41.3,,,,,,,,,,4wxqckb43bkeobwanys62zvmd,K. Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375547,19,1,1,2,23,spi3g782q7m4evjxn1sv6cfa,1,41.2,3.7,2024-10-12T12:47:40.900Z,2024-10-12T12:47:44Z,5282438039,140,58.6,5282438041,141,5.6,5282438037,56,Right,5282438045,213,0.07,5282438043,212,18.3,,,,,,,,,,1dg7whnmk3nb1adw7n8a7nnbp,L. Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375553,20,50,1,2,26,spi3g782q7m4evjxn1sv6cfa,1,61.4,12.1,2024-10-12T12:47:44.045Z,2024-10-12T12:58:02Z,5282438081,56,Right,5282447789,286,,5282447795,233,26,,,,,,,,,,,,,,,,2m6wew2746q1xsoio3703t8t1,J. Rytting Kaneryd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375543,26,7,1,2,26,5rurqie3qt1qav9ir5mkqinn,0,38.6,87.9,2024-10-12T12:47:44.046Z,2024-10-12T16:07:42Z,5282438031,56,Back,5282438033,285,,5282935415,385,,5282447791,233,20,,,,,,,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375577,21,1,1,2,28,spi3g782q7m4evjxn1sv6cfa,1,65.9,33.4,2024-10-12T12:47:45.764Z,2024-10-12T12:55:57Z,5282446009,210,15,5282438739,212,10.3,5282446011,154,,5282438171,141,38.3,5282438741,213,0.33,5282448215,4,,5282438167,56,Center,5282438169,140,75.2,agdmqurwrf5k6izewj4voxcdl,S. Nüsken,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375685,24,15,1,2,30,spi3g782q7m4evjxn1sv6cfa,1,91,32.4,2024-10-12T12:47:47.771Z,2024-10-12T16:07:54Z,5282446025,80,,5282443013,233,27,5282446043,103,18.1,5282446053,147,34.1,5282446051,146,92.5,5282438967,82,,5282438775,63,,5282446055,230,98.9,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,5282446029,154,5282438773,22,5282438963,20,,5282446057,231,,46.2,5282935669,215,5282446039,102,46.4,5282438777,56,Center,5282446027,29,5282446031,55,21,,,,,,,,,,,,,,
2733375589,27,10,1,2,30,5rurqie3qt1qav9ir5mkqinn,1,6.5,72.2,2024-10-12T12:47:47.871Z,2024-10-12T12:56:37Z,5282443017,233,24,5282438259,94,,5282438261,56,Back,,,,,,,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375581,22,43,1,2,32,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-10-12T12:47:50.099Z,2024-10-12T12:48:10Z,5282438651,144,39,5282438185,56,Center,5282438191,250,0,5282438181,22,0,5282438183,63,0,,,,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375637,28,43,1,2,45,5rurqie3qt1qav9ir5mkqinn,1,0,0,2024-10-12T12:48:03.022Z,2024-10-12T12:48:05Z,5282438509,94,0,5282438511,56,Back,5282438527,144,10,,,,,,,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375689,25,6,1,2,48,spi3g782q7m4evjxn1sv6cfa,1,99.8,32.4,2024-10-12T12:48:06.061Z,2024-10-12T12:58:06Z,5282438825,56,Center,5282443037,233,29,5282438829,75,,,,,,,,,,,,,,,,,27oce8op8b7a6fmyp8utoz5gq,M. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375647,29,6,1,2,48,5rurqie3qt1qav9ir5mkqinn,0,0.2,67.6,2024-10-12T12:48:06.061Z,2024-10-12T16:08:02Z,5282443041,233,25,5282438551,73,,5282438549,56,Back,,,,,,,,,,,,,,,,n70i0c7uk1qxianxoiotqmeh,E. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733375725,26,1,1,3,9,spi3g782q7m4evjxn1sv6cfa,0,99.5,0.5,2024-10-12T12:48:27.076Z,2024-10-12T16:08:12Z,5282439045,140,100.0,5282439039,155,,5282936127,20,,5282439037,6,,5282439043,56,Center,5282439051,213,1.54,5282439035,2,,5282936125,223,,dm9vc2mqtbb982sx6kkd992ax,S. Baltimore,5282439049,212,5282439047,141,,,,,,,,,,,,,,,,,,,,,29.9,44.5,,,,,,,,,,,,
2733375729,27,43,1,3,10,spi3g782q7m4evjxn1sv6cfa,1,0,0,2024-10-12T12:48:27.597Z,2024-10-12T12:51:44Z,5282442899,144,6,5282439397,73,0,5282439065,56,Center,,,,,,,,,,,,,,,,dm9vc2mqtbb982sx6kkd992ax,S. Baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
