Player,Team,Assists,ShotAssists,xAG
Lucía Rodríguez,Real Sociedad de Fútbol,0,4,0.24
Lucía Vallejo,Reial Club Deportiu Espanyol,0,3,0.49
Lydia Rodríguez,Club Atlético de Madrid Féminas,1,0,0.07
M. Asenjo,DUX Logroño,0,1,0.15
M. Baquerizo,Granada CF,0,6,0.37
M. Barth,RC Deportivo de La Coruña,0,1,0.05
M. Díaz Leal,Alhama CF,0,1,0.53
M. Lakrar,Real Madrid CF,1,1,0.14
M. Marcetto,Madrid CFF,1,0,0.1
Macarena Portales,Club Atlético de Madrid Féminas,0,1,0.08
Maddi Torre,Athletic Club Bilbao,0,1,0.04
Maite Zubieta,Athletic Club Bilbao,0,3,0.1
Mapi León,FC Barcelona,2,1,0.56
Mar Torrás,Reial Club Deportiu Espanyol,0,1,0.05
Maria Barquero,Granada CF,0,1,0.08
Maria Gabaldón,Levante UD,0,1,0.08
Marta Masferrer,DUX Logroño,0,1,0.04
María Llompart,FC Badalona Women,0,2,0.15
María Molina,Real Sociedad de Fútbol,0,2,0.1
María Méndez,Real Madrid CF,0,1,0.03
Mireia Masegur,SD Eibar,0,1,0.1
N. Amoh,DUX Logroño,0,1,0.05
Naia Landaluze,Athletic Club Bilbao,0,2,0.08
Naima García,Reial Club Deportiu Espanyol,0,2,0.13
Natalia Ramos,CD Tenerife,0,6,0.57
Nerea Eizagirre,Real Sociedad de Fútbol,0,6,0.83
Nerea Nevado,Athletic Club Bilbao,0,5,0.43
Nuria Garrote,FC Badalona Women,0,2,0.07
Núria Mendoza,Madrid CFF,0,2,0.1
O. Clement,SD Eibar,0,1,0.04
Olaya Rodríguez,RC Deportivo de La Coruña,0,11,1.03
Ona Baradad,Reial Club Deportiu Espanyol,0,1,0.05
Ona Batlle,FC Barcelona,1,3,0.67
P. Ali,Levante UD,0,1,0.03
Pachu,SD Eibar,0,1,0.39
Paola Hernández,CD Tenerife,1,3,0.16
Patri Gavira,CD Tenerife,0,1,0.34
Patri Guijarro,FC Barcelona,2,5,0.81
Paula Arana,Reial Club Deportiu Espanyol,0,1,0.05
Paula Fernández,Real Sociedad de Fútbol,0,2,0.07
Paula Gutiérrez,RC Deportivo de La Coruña,0,1,0.03
Paula Partido,DUX Logroño,0,1,0.11
R. Carrasco,Levante UD,0,3,0.15
Raquel Pinel,Alhama CF,0,1,0.05
Rosa Márquez,Sevilla FC,0,5,0.49
S. Bruun,Real Madrid CF,0,2,0.51
S. Cabezas,Levante UD,0,1,0.05
S. Holmgaard,Real Madrid CF,0,1,0.03
S. Jensen,Club Atlético de Madrid Féminas,1,2,0.25
S. Keefe,Granada CF,0,3,0.24
S. Ortíz,RC Deportivo de La Coruña,1,1,0.13
S. Ouzraoui Diki,CD Tenerife,0,4,0.28
S. Schertenleib,FC Barcelona,0,1,0.07
S. Toletti,Real Madrid CF,1,2,0.16
Salma Paralluelo,FC Barcelona,1,3,0.73
Sara Martín,SD Eibar,0,3,0.16
Sara Ortega,Athletic Club Bilbao,0,2,0.14
Silvi Cristóbal,Real Madrid CF,0,1,0.04
Silvia Lloris,Club Atlético de Madrid Féminas,0,2,0.38
Sonia Majarín,FC Badalona Women,0,2,0.1
V. Bøe Risa,Club Atlético de Madrid Féminas,0,6,0.65
Vera Molina,Granada CF,0,1,0.1
Vicky López,FC Barcelona,2,4,0.85
Vilariño,Athletic Club Bilbao,0,1,0.1
Y. Relea,Alhama CF,0,2,0.18
Yasmim,Real Madrid CF,0,1,0.03
Z. Agama,Levante UD,0,2,0.15
Ángela Sosa,Madrid CFF,0,4,0.22
Ángeles del Álamo,Reial Club Deportiu Espanyol,0,1,0.07
Érika González,Levante UD,0,8,0.46
