Player,Team,Minutes
Guereñu,Eibar,265.0
H. Antonsdóttir,Madrid,196.0
H. Bennison,Real Madrid,117.0
Henar Muiña,Deportivo La Coruña,169.0
Iara,Eibar,108.0
Inma Gabarro,Sevilla,25.0
Intza Eguiguren,Real Sociedad,94.0
Inés Rizo,Levante,221.0
Inês Pereira,Deportivo La Coruña,270.0
Iratxe Pérez,Tenerife,57.0
Irene Oguiza,Athletic Club,55.0
Irene Paredes,Barcelona,216.0
Iria Castro,Logroño,334.0
Irina Uribe,Badalona,100.0
Iris Arnaiz,Sevilla,140.0
Iris Santiago,Real Madrid,9.0
Irune Dorado,Real Madrid,57.0
Isabel Álvarez,Sevilla,270.0
Isina,Logroño,260.0
Itziar Pinillos,Badalona,360.0
J. Morcillo,Logroño,105.0
J. Toro,Alhama,40.0
Jone Amezaga,Athletic Club,195.0
Judit Pablos,Espanyol,4.0
Jujuba Cardozo,Granada,360.0
Julia Arrula,Real Sociedad,360.0
Julia Torres,Sevilla,200.0
Júlia Bartel,Atlético Madrid,113.0
K. Cahynová,Real Sociedad,282.0
K. Melgård,Madrid,208.0
Karolina Sarasua,Eibar,-2.0
Kika Nazareth,Barcelona,109.0
L. Ballesté,Espanyol,208.0
L. Caicedo,Real Madrid,214.0
L. Chamorro,Badalona,350.0
L. Kullashi,Badalona,277.0
L. Solvoll,Granada,125.0
Laia Aleixandri,Barcelona,129.0
Laura Camino,Eibar,315.0
Laura Coronado,Levante,180.0
Laura Martinez,Logroño,16.0
Laura Martínez,Espanyol,327.0
Laura Pérez,Granada,324.0
Lauren Leal,Atlético Madrid,180.0
Lauri,Granada,354.0
Leire Baños,Athletic Club,249.0
Leles,Granada,10.0
Lola Gallardo,Atlético Madrid,270.0
Lorena Navarro,Badalona,155.0
Lorena Valderas,Logroño,108.0
Luany,Atlético Madrid,166.0
Lucía Martínez,Deportivo La Coruña,172.0
Lucía Moral,Sevilla,124.0
Lucía Pardo,Real Sociedad,185.0
Lucía Rodríguez,Real Sociedad,237.0
Lucía Vallejo,Espanyol,354.0
Lydia Rodríguez,Atlético Madrid,90.0
M. Asenjo,Logroño,318.0
M. Baquerizo,Granada,360.0
M. Barth,Deportivo La Coruña,270.0
M. Díaz Leal,Alhama,137.0
M. Frohms,Real Madrid,270.0
M. Kojima,Granada,316.0
M. Lakrar,Real Madrid,270.0
M. Marcetto,Madrid,145.0
Macarena Portales,Atlético Madrid,207.0
Maddi Torre,Athletic Club,263.0
Maite Valero,Athletic Club,248.0
Maite Zubieta,Athletic Club,336.0
Malen Uranga,Eibar,55.0
Mapi León,Barcelona,176.0
Mar Torrás,Espanyol,159.0
Maria Barquero,Granada,87.0
Maria Gabaldón,Levante,360.0
Marina Artero,Deportivo La Coruña,180.0
Marina Rivas,Madrid,25.0
Marisa García,Deportivo La Coruña,129.0
Marta Gestera,Alhama,45.0
Marta Masferrer,Logroño,254.0
Marta Torrejón,Barcelona,19.0
María Llompart,Badalona,160.0
María Miralles,Logroño,360.0
María Molina,Real Sociedad,193.0
María Méndez,Real Madrid,270.0
Mireia Masegur,Eibar,359.0
Mônica,Madrid,154.0
N. Amoh,Logroño,90.0
N. Andonova,Madrid,101.0
N. Cáceres,Tenerife,90.0
N. Feller,Real Madrid,56.0
N. Sánchez,Madrid,43.0
Nahia Aparicio,Real Sociedad,292.0
Naia Landaluze,Athletic Club,217.0
Naima García,Espanyol,195.0
Natalia Cebolla,Logroño,360.0
Natalia Ramos,Tenerife,270.0
Nerea Eizagirre,Real Sociedad,328.0
Nerea Nevado,Athletic Club,360.0
Noelia Ramos,Tenerife,180.0
None,Logroño,360.0
None,Deportivo La Coruña,270.0
None,Athletic Club,360.0
None,Tenerife,270.0
None,Granada,360.0
None,Madrid,270.0
None,Eibar,360.0
None,Atlético Madrid,270.0
None,Real Sociedad,360.0
None,Levante,360.0
None,Barcelona,270.0
None,Sevilla,270.0
None,Espanyol,360.0
None,Badalona,360.0
None,Alhama,270.0
None,Real Madrid,270.0
Nuria Garrote,Badalona,289.0
Nuria Martínez,Alhama,-3.0
Núria Mendoza,Madrid,180.0
O. Clement,Eibar,90.0
O. Fergusson,Espanyol,46.0
Oihana Agirregomezkorta,Athletic Club,51.0
OlatzSantana,Athletic Club,90.0
Olaya Rodríguez,Deportivo La Coruña,264.0
Ona Baradad,Espanyol,285.0
Ona Batlle,Barcelona,215.0
P. Ali,Levante,264.0
P. Browne,Espanyol,104.0
P. Gramaglia,Tenerife,21.0
Pachu,Eibar,97.0
Paola Hernández,Tenerife,250.0
Patri Gavira,Tenerife,270.0
Patri Guijarro,Barcelona,154.0
Patri Miñano,Alhama,109.0
Paula Arana,Espanyol,239.0
Paula Comendador,Real Madrid,16.0
Paula Fernández,Real Sociedad,318.0
Paula Gutiérrez,Deportivo La Coruña,151.0
Paula Monteagudo,Deportivo La Coruña,212.0
Paula Novo,Deportivo La Coruña,26.0
Paula Partido,Logroño,194.0
Paula Perea,Espanyol,189.0
Paula Rubio,Logroño,152.0
Paula Sánchez,Badalona,97.0
R. Carrasco,Levante,173.0
R. Salvador,Espanyol,360.0
Raquel García,Deportivo La Coruña,180.0
Raquel Pinel,Alhama,86.0
Rebeca Costa,Logroño,114.0
Redru,Deportivo La Coruña,48.0
Rosa Márquez,Sevilla,270.0
S. Bruun,Real Madrid,123.0
S. Cabezas,Levante,120.0
S. Däbritz,Real Madrid,61.0
S. Holmgaard,Real Madrid,241.0
S. Jankovska,Badalona,6.0
S. Jensen,Atlético Madrid,77.0
S. Junge Pedersen,Badalona,231.0
S. Keefe,Granada,319.0
S. Ortíz,Deportivo La Coruña,242.0
S. Ouzraoui Diki,Tenerife,229.0
S. Schertenleib,Barcelona,54.0
S. Toletti,Real Madrid,163.0
Salma Paralluelo,Barcelona,187.0
Sanadri,Athletic Club,13.0
Sandra Castelló,Tenerife,16.0
Sandra Perera,Logroño,38.0
Sandra Villafañe,Madrid,270.0
Sara Martín,Eibar,272.0
Sara Ortega,Athletic Club,359.0
Sheila García,Real Madrid,135.0
Sheila Guijarro,Atlético Madrid,90.0
Silvi Cristóbal,Real Madrid,135.0
Silvia Lloris,Atlético Madrid,225.0
Sonia Majarín,Badalona,360.0
Teresa Mérida,Levante,96.0
V. Bøe Risa,Atlético Madrid,188.0
Vega Montesinos,Alhama,15.0
Vera Molina,Granada,77.0
Vicky López,Barcelona,203.0
Vilariño,Athletic Club,117.0
X. Velazco,Logroño,90.0
Xenia Barrios,Sevilla,10.0
Xènia Pérez,Atlético Madrid,156.0
Y. Correa,Alhama,86.0
Y. Relea,Alhama,213.0
Yasmim,Real Madrid,10.0
Yolanda Sierra,Granada,12.0
Z. Agama,Levante,205.0
Z. Matthews,Logroño,239.0
Ángela Sosa,Madrid,254.0
Ángeles del Álamo,Espanyol,82.0
Érika González,Levante,357.0
