Player,Team,Shots,xG,OpenPlay_xG,SetPiece_xG
S. Ortíz,RC Deportivo de La Coruña,2,0.13,0.13,0.0
S. Ouzraoui Diki,CD Tenerife,10,1.08,1.0,0.08
Salma Paralluelo,FC Barcelona,4,0.64,0.5,0.14
Sara Martín,SD Eibar,1,0.03,0.03,0.0
Sara Ortega,Athletic Club Bilbao,1,0.1,0.1,0.0
Silvia Lloris,Club Atlético de Madrid Féminas,1,0.03,0.03,0.0
V. Bøe Risa,Club Atlético de Madrid Féminas,1,0.08,0.08,0.0
Vilariño,Athletic Club Bilbao,1,0.06,0.06,0.0
Z. Matthews,DUX Logroño,1,0.05,0.05,0.0
Ángela Sosa,Madrid CFF,2,0.06,0.03,0.03
Érika González,Levante UD,2,0.09,0.09,0.0
