Player,Team,Assists,ShotAssists,xAG
S. Jónsdóttir,Angel City FC,1,3,0.57
S. King,Angel City FC,0,1,0.07
S. Koyama,North Carolina Courage,1,14,1.66
S. McCaskill,San Diego Wave FC,0,13,0.74
S. Menti,Seattle Reign FC,0,8,0.48
S. Meza,Seattle Reign FC,2,7,1.3
S. Puntigam,Houston Dash,1,0,0.29
S. Schmidt,Houston Dash,0,3,0.69
S. Schupansky,Gotham FC,5,21,3.9
S. Staab,Chicago Stars FC,4,11,1.48
S. Weber,Racing Louisville FC,0,4,0.75
S. Yates,Orlando Pride,1,6,1.65
T. Armstrong,San Diego Wave FC,2,3,0.9
T. Boade,Bay FC,0,5,0.63
T. Chawinga,Kansas City Current,2,27,2.22
T. Flint,Racing Louisville FC,1,12,0.7
T. Huff,Bay FC,1,16,1.12
T. Lussi,North Carolina Courage,0,5,0.74
T. Malham,Chicago Stars FC,1,7,1.34
T. McKeown,Washington Spirit,2,6,2.18
T. Rodman,Washington Spirit,0,3,0.25
T. Torres,Gotham FC,0,4,0.34
U. Kanu,Racing Louisville FC,0,2,0.11
V. DiBernardo,Kansas City Current,1,17,1.74
Y. Ryan,Houston Dash,2,19,2.66
