Player,Team,Minutes
H. Anderson,Chicago Stars,101.0
H. Bebar,Bay,439.0
H. Betfort,North Carolina Courage,400.0
H. Glas,Seattle Reign,-3.0
H. Hershfelt,Washington Spirit,104.0
H. Hopkins,Kansas City Current,282.0
H. Johnson,Angel City,29.0
H. Lundkvist,San Diego Wave,348.0
H. Mace,Kansas City Current,113.0
H. Mackiewicz,Chicago Stars,1.0
H. McCutcheon,Orlando Pride,336.0
H. Stainbrook,Washington Spirit,289.0
H. Sugita,Portland Thorns,432.0
I. Dorsey,Utah Royals,299.0
I. Obaze,Portland Thorns,451.0
I. Rodriguez,Kansas City Current,231.0
J. Anderson,Bay,280.0
J. Bike,Chicago Stars,416.0
J. Brewster,Bay,25.0
J. Bugg,Seattle Reign,170.0
J. Carter,Gotham FC,404.0
J. Doyle,Orlando Pride,293.0
J. Dufour,Portland Thorns,22.0
J. Dufour,Angel City,272.0
J. Endō,Angel City,134.0
J. Fishlock,Seattle Reign,455.0
J. Fleming,Portland Thorns,731.0
J. Fusco,San Diego Wave,21.0
J. Gaynor,Chicago Stars,72.0
J. Grosso,Chicago Stars,590.0
J. Hasbo,Gotham FC,45.0
J. Huitema,Seattle Reign,548.0
J. Joseph,Chicago Stars,699.0
J. Perry,Portland Thorns,84.0
J. Shaw,North Carolina Courage,732.0
J. Shepherd,Bay,150.0
J. Sonis,Racing Louisville,435.0
J. Thomsen,Utah Royals,730.0
Jereko,Kansas City Current,-2.0
Ji So-Yun,Seattle Reign,659.0
Jéssica Silva,Gotham FC,90.0
K. Abello,Orlando Pride,389.0
K. Ascanio,San Diego Wave,1016.0
K. Carusa,San Diego Wave,240.0
K. Dali,San Diego Wave,178.0
K. Dulaney,Washington Spirit,10.0
K. Duran,Gotham FC,15.0
K. Fischer,Racing Louisville,485.0
K. Fuller,Angel City,945.0
K. Harper,Gotham FC,210.0
K. Hendrich,Chicago Stars,107.0
K. Hubly,Bay,295.0
K. Lema,Bay,715.0
K. Lind,Houston Dash,-5.0
K. McNabb,San Diego Wave,126.0
K. Nadaner,Orlando Pride,71.0
K. O'Kane,Racing Louisville,716.0
K. Pickett,Bay,309.0
K. Ream,Utah Royals,180.0
K. Riehl,Utah Royals,104.0
K. Stengel,Gotham FC,210.0
K. Sylla,Washington Spirit,133.0
K. Torpey,Portland Thorns,616.0
K. Wesley,San Diego Wave,86.0
K. Wiesner,Washington Spirit,312.0
K. Zelem,Angel City,497.0
K. van Zanten,Houston Dash,467.0
L. Barnes,Seattle Reign,563.0
L. Biyendolo,Seattle Reign,530.0
L. Fazer,San Diego Wave,84.0
L. Flynn,Utah Royals,158.0
L. LaBonta,Kansas City Current,135.0
L. Nesbeth,Chicago Stars,124.0
L. Reale,Gotham FC,144.0
L. Santos,Washington Spirit,282.0
Ludmila,Chicago Stars,709.0
M. A. Vignola,Angel City,228.0
M. Alidou,Portland Thorns,456.0
M. Alozie,Houston Dash,321.0
M. Barcenas,San Diego Wave,467.0
M. Bell,North Carolina Courage,198.0
M. Berkely,North Carolina Courage,309.0
M. Boade,Washington Spirit,103.0
M. Bright,Houston Dash,842.0
M. Cluff,Utah Royals,156.0
M. Cooper,Kansas City Current,791.0
M. Crone,Orlando Pride,40.0
M. Curry,Seattle Reign,314.0
M. Dahlien,Seattle Reign,790.0
M. Detrizio,Washington Spirit,2.0
M. DiGrande,Racing Louisville,454.0
M. Fishel,Seattle Reign,61.0
M. Fraser,Utah Royals,190.0
M. Freeman,Gotham FC,396.0
M. Gautrat,Orlando Pride,668.0
M. Graham,Houston Dash,182.0
M. Hammond,Angel City,489.0
M. Hayashi,Chicago Stars,343.0
M. Hodge,Angel City,424.0
M. Johnson,Chicago Stars,139.0
M. Long,Kansas City Current,100.0
M. Matsukubo,North Carolina Courage,779.0
M. McKenzie,Portland Thorns,411.0
M. Mercado,Seattle Reign,348.0
M. Moreau,Bay,154.0
M. Moriya,Angel City,448.0
M. Morris,Racing Louisville,70.0
M. Morris,Washington Spirit,502.0
M. Pogarch,Utah Royals,411.0
M. Purce,Gotham FC,403.0
M. Reid,Angel City,88.0
M. Robbe,San Diego Wave,242.0
M. Speck,North Carolina Courage,239.0
M. Sánchez,San Diego Wave,571.0
M. Tanaka,Utah Royals,278.0
M. Whitham,Gotham FC,51.0
Maiara Niehues,Angel City,50.0
Maitane López,Chicago Stars,465.0
Marta,Orlando Pride,477.0
N. Jacobs,Houston Dash,98.0
N. Kuikka,Chicago Stars,168.0
N. Martin,Gotham FC,340.0
N. Miura,Washington Spirit,751.0
N. Mondésir,Seattle Reign,403.0
N. Prince,Kansas City Current,474.0
N. Staude,North Carolina Courage,166.0
Nuria Rábano,Utah Royals,433.0
Nádia Gomes,Chicago Stars,296.0
O. Moultrie,Portland Thorns,457.0
O. Van der Jagt,Seattle Reign,19.0
Oihane Hernández,Orlando Pride,582.0
P. Chilufya,Orlando Pride,511.0
P. Hocking,Bay,538.0
P. Linnehan,Portland Thorns,432.0
P. Linnehan,North Carolina Courage,8.0
P. McClernon,Seattle Reign,79.0
P. Metayer,Washington Spirit,74.0
P. Monaghan,Utah Royals,425.0
P. Morroni,San Diego Wave,648.0
P. Nielsen,Houston Dash,57.0
P. Tordin,Portland Thorns,515.0
Q. McMahon,San Diego Wave,-2.0
R. Bachmann,Houston Dash,37.0
R. Bernal,Washington Spirit,262.0
R. Campbell,Gotham FC,3.0
R. Gareis,Houston Dash,559.0
R. Hill,Bay,381.0
R. Jackson,North Carolina Courage,890.0
R. Kouassi,Washington Spirit,476.0
R. Kundananji,Bay,274.0
R. Lavelle,Gotham FC,403.0
R. Reyes,Portland Thorns,318.0
R. Rodríguez,Kansas City Current,223.0
R. Tiernan,Angel City,574.0
R. Turner,Portland Thorns,1060.0
Rafaelle,Orlando Pride,273.0
S. Cantore,Washington Spirit,164.0
S. Cary,Chicago Stars,71.0
S. Charley,Orlando Pride,77.0
S. Coffey,Portland Thorns,62.0
S. Cook,Gotham FC,144.0
S. DeMelo,Racing Louisville,566.0
S. Gorden,Angel City,113.0
S. Groom,Chicago Stars,608.0
S. Hirst,Portland Thorns,39.0
S. Holmes,Seattle Reign,384.0
S. Jackson,Orlando Pride,192.0
S. Jones,Utah Royals,7.0
S. Jónsdóttir,Angel City,165.0
S. King,Angel City,261.0
S. Koyama,North Carolina Courage,652.0
S. Mattice,Angel City,19.0
S. McCaskill,San Diego Wave,105.0
S. Menti,Seattle Reign,267.0
S. Meza,Seattle Reign,249.0
S. Nyamekye,Gotham FC,24.0
S. Puntigam,Houston Dash,121.0
S. Schmidt,Houston Dash,210.0
S. Schupansky,Gotham FC,1002.0
S. Staab,Chicago Stars,273.0
S. Weber,Racing Louisville,831.0
S. Yates,Orlando Pride,375.0
T. Armstrong,San Diego Wave,101.0
T. Boade,Bay,204.0
T. Chawinga,Kansas City Current,749.0
T. Davidson,Gotham FC,43.0
T. Flint,Racing Louisville,84.0
T. Huff,Bay,360.0
T. Lussi,North Carolina Courage,657.0
T. McKeown,Washington Spirit,45.0
T. Rodman,Washington Spirit,393.0
T. Torres,Gotham FC,490.0
U. Kanu,Racing Louisville,61.0
V. DiBernardo,Kansas City Current,798.0
V. Villacorta,Orlando Pride,80.0
Z. Chavoshi,Orlando Pride,86.0
