Player,Team,Minutes
cp37td3qaw8oyf3mznoh45o15,Real Sociedad,-11.0
d0i38pk78vbxoqz7x2rzz8cx6,Atlético Madrid,66.0
d5i62fwuf8ohc8fcq3lxboiga,Sevilla,27.0
d7245jchbl1ld078edmnrvifo,Tenerife,49.0
d7vhkxz4gdhwnsd0oiztdbpck,Eibar,89.0
dctg8049f5wz2ofi0fqjvauxg,Alhama,45.0
dej9w2n7m9uzfb12yozvly5pm,Atlético Madrid,23.0
dfg04udojmtob2bjv925yglck,Logroño,74.0
dgkmt7f5k9oqruxzsi3x9em6t,Real Madrid,118.0
di2w5wcc8o550iiuliw3ds2y,Deportivo La Coruña,32.0
dig6il3224ssjooy9p9pcg6hh,Logroño,82.0
dl1fddicy100yjrry7e3mznys,Logroño,10.0
dpo0v7rvuxdty6s9y2j5mh39x,Real Madrid,10.0
dtmyzfnfs2nldza55qlvmuzqi,Tenerife,85.0
dyuj9k3ocns595d2rossgl3pw,Eibar,25.0
e5zn19jfdwtxnigzi0txad3sa,Logroño,15.0
eeukxmlk6l0vizkobfe7qd2xg,Eibar,25.0
efrr99onfcuvb2gylkvvrnl9m,Sevilla,10.0
efxmnnjg8l00ns74d7nnloi22,Atlético Madrid,66.0
eitv6t0xve84dgqlxutee0ys4,Madrid,1.0
eixpfphvgcs99fdd8ihwzdca2,Espanyol,20.0
ek8cj5w1l0wwmb0l8dshbgz4l,Eibar,81.0
emyaq3f8kbforzqj8puyg8bmd,Espanyol,42.0
enc694gvlgycx72bhat5f7wbu,Real Sociedad,121.0
ent3o8sh6zn2mpe7m9p8q1sve,Atlético Madrid,76.0
envd6nvea5ssa98mq2bnd7otm,Athletic Club,27.0
ergobfal6ny5w6xy1hsixrdhw,Real Sociedad,107.0
erixarzbmkelmcjsyz4s4mxas,Madrid,118.0
esqhp0wt0ni6wgtvnxpha6fl6,Eibar,-2.0
eu6nudazhvggen5s7abc46bpx,Real Madrid,36.0
eue76km9ft9og6tkeqhrxjluy,Deportivo La Coruña,26.0
ev8an510kk4nb6dabnsa962tx,Espanyol,9.0
