Player,Team,Passes,Total_xT,xT
E. Smits,Heerenveen,47,0.10697960000000001,0.107
E. Van Kerkhoven,Feyenoord,23,0.02370893999999999,0.024
E. Yetim,NAC Breda,5,0.07041369,0.07
E. de Graaf,Feyenoord,41,0.07500814,0.075
E. van Deursen,Feyenoord,83,0.40490789,0.405
E. van Vilsteren,Heerenveen,79,0.4385902,0.439
E. van der Vliet,NAC Breda,29,0.01863423,0.019
F. Bastiaen,Utrecht,147,0.34708047000000003,0.347
F. Bol,ADO Den Haag,51,0.057641420000000006,0.058
F. Hermans,Utrecht,37,0.052305620000000004,0.052
F. Kroese,AZ,25,0.05274691000000001,0.053
F. Meijer,Heerenveen,132,0.53072874,0.531
F. Prins,ADO Den Haag,30,0.21269437,0.213
F. Spaan,AZ,19,0.4315218,0.432
F. Stoit,Feyenoord,27,0.39149224,0.391
F. van der Eijk,Excelsior,8,0.002252519999999999,0.002
G. Caprino,AZ,123,0.11118243,0.111
G. Viehoff,ADO Den Haag,32,-0.002713550000000009,-0.003
G. op den Kelder,Utrecht,131,0.46360228000000003,0.464
H. Balkhir,Excelsior,18,0.010148559999999994,0.01
H. Huizenga,PEC Zwolle,46,-0.10942043999999998,-0.109
H. Stallmann,Heerenveen,7,0.25428511,0.254
H. Tanaka,HERA United,9,0.01258539,0.013
I. Colin,Ajax,86,0.44451695999999996,0.445
I. Dostmohamed,Ajax,51,1.7199764899999999,1.72
I. Gomez,Excelsior,13,0.0601376,0.06
I. Kaagman,Heerenveen,69,0.39015489999999997,0.39
I. Kopp,HERA United,83,0.031415870000000005,0.031
I. Nottet,HERA United,28,0.003634690000000001,0.004
I. Redouani,Excelsior,6,0.06290522999999998,0.063
I. Weiman,PEC Zwolle,113,0.68519276,0.685
I. Zijp,PEC Zwolle,38,0.12334424000000001,0.123
I. van Dalen,NAC Breda,40,0.07778328,0.078
I. van der Vegt,Twente,28,0.1716974,0.172
J. Brandau,Feyenoord,148,0.08625298999999999,0.086
J. Burgers,Excelsior,101,0.50828071,0.508
J. Dijsselhof,PEC Zwolle,108,-0.0002082999999999998,-0.0
J. Paliama,Utrecht,77,0.42747156999999997,0.427
J. Ravensbergen,Twente,20,-0.2477856,-0.248
J. Resink,Heerenveen,110,0.23057912000000003,0.231
J. Roord,Twente,72,0.13901737,0.139
J. Roosjen,PEC Zwolle,86,1.0202858899999998,1.02
J. Schneijderberg,NAC Breda,25,0.06812533,0.068
J. Smits,Ajax,40,0.07472634,0.075
J. Verheijen,Excelsior,96,0.51467252,0.515
J. Visser,NAC Breda,1,0.0,0.0
J. Weimar,Feyenoord,100,0.27961222,0.28
J. van Belen,HERA United,28,0.04993683000000001,0.05
J. van Hensbergen,Ajax,11,0.021945479999999993,0.022
J. van Mierlo,ADO Den Haag,117,0.26956948999999997,0.27
J. van Uden,AZ,18,0.014020869999999998,0.014
J. van de Velde,Ajax,192,0.37980648999999994,0.38
J. van den Ende,ADO Den Haag,26,0.21934535,0.219
K. Hendriks,Excelsior,60,0.031110220000000008,0.031
K. Hendriks,NAC Breda,21,0.05553155,0.056
K. Heshof,NAC Breda,27,0.35764318,0.358
K. Iwasaki,Feyenoord,44,0.10330212000000001,0.103
K. Koopman,Utrecht,31,0.0036551300000000064,0.004
K. Pruim,PEC Zwolle,9,0.04453589999999999,0.045
K. Steen,HERA United,116,0.44516403,0.445
K. Thomas,AZ,45,0.045938629999999994,0.046
K. Woons,AZ,100,0.40209077,0.402
K. van de Westeringh,Feyenoord,13,0.25492321999999995,0.255
L. Carleer,Twente,159,0.16086610999999998,0.161
L. Forshaw,HERA United,18,0.31988565,0.32
L. Groenewegen,Twente,67,0.21255154999999998,0.213
L. Iedema,PEC Zwolle,7,0.02106674,0.021
L. Jacobs,PSV,116,0.40384744999999994,0.404
L. Keukelaar,Ajax,4,-0.43845123999999996,-0.438
L. Loonen,Utrecht,41,0.03497467000000001,0.035
L. Mahieu,Utrecht,44,0.14895988999999998,0.149
L. Rijsbergen,PSV,35,0.25289914,0.253
L. Strik,PSV,57,0.21916807,0.219
L. Venema,Heerenveen,21,0.00385749,0.004
L. Verhoef,NAC Breda,57,0.10555298,0.106
L. Vis,HERA United,14,0.03758081999999999,0.038
L. Vliek,Twente,86,0.76820863,0.768
L. Vroegindeweij,ADO Den Haag,11,0.02376027,0.024
L. de Keijzer,Utrecht,81,0.07238198,0.072
L. de With,Excelsior,4,0.06279305,0.063
L. van Oosten,Ajax,29,0.00459616,0.005
M. Bormans,Utrecht,134,0.36094832,0.361
M. Bross,PSV,198,0.09517882,0.095
M. Goutier,NAC Breda,3,0.0,0.0
M. Itamura,Feyenoord,61,0.54131425,0.541
M. Kemper-Moorrees,PSV,6,0.012678199999999997,0.013
M. Lagcher,HERA United,19,0.17337089,0.173
M. Lindner,PEC Zwolle,69,0.23303325,0.233
M. Munsterman,Utrecht,26,0.24760474999999998,0.248
M. Rutgers,PEC Zwolle,69,0.19607502000000002,0.196
M. Stoop,AZ,165,0.32903869999999996,0.329
M. Westerink,Excelsior,107,0.31367849999999997,0.314
M. de Vette,AZ,90,0.13793044,0.138
M. van Bentum,AZ,45,0.39371555999999996,0.394
M. van Houwelingen,NAC Breda,65,0.27781854,0.278
M. van Koppen,Ajax,27,0.032780140000000006,0.033
N. Berrevoets,HERA United,50,0.0342017,0.034
N. Booms,AZ,110,0.25373283,0.254
N. Evrard,PSV,107,0.45670817,0.457
N. Hilhorst,Excelsior,42,0.15877760999999999,0.159
N. Mulder,ADO Den Haag,56,0.05139152999999999,0.051
N. Nijstad,PSV,70,0.88136209,0.881
N. Stoop,HERA United,82,0.25663111,0.257
N. Tromp,Utrecht,82,0.55103972,0.551
N. Vrij,Excelsior,29,0.38682207999999996,0.387
N. de Haan,NAC Breda,84,0.22560832000000003,0.226
N. van den Burg,NAC Breda,17,0.26056311,0.261
N. van der Sluijs,Feyenoord,70,0.12726292,0.127
O. Szymczak,PEC Zwolle,59,0.18834738,0.188
P. Donker,HERA United,53,0.76396752,0.764
P. Raaijmakers,ADO Den Haag,4,0.00082343,0.001
Q. Dupon,ADO Den Haag,66,0.044536589999999994,0.045
R. Blom,ADO Den Haag,96,0.04245236,0.042
R. Boukakar,Heerenveen,32,0.0058974599999999985,0.006
R. Dap,Utrecht,4,-0.20604351999999998,-0.206
R. Derks,Ajax,2,0.0037116300000000005,0.004
R. Ivens,Twente,14,0.0,0.0
R. Jansen,PSV,129,1.14848468,1.148
R. Lacroix,PSV,89,0.025997649999999994,0.026
R. Renfurm,Utrecht,74,0.06312519999999999,0.063
R. Xhemaili,PSV,70,0.41098925999999997,0.411
R. de Haas,Heerenveen,30,0.15515886,0.155
R. van Asten,Ajax,102,0.39803131999999997,0.398
R. van Eijk,Ajax,113,0.33885465000000003,0.339
R. van de Lavoir,Feyenoord,15,0.08317472000000001,0.083
S. Coelho Aurélio,NAC Breda,19,-0.01357668,-0.014
S. Dessing,AZ,43,0.39032566999999996,0.39
S. Ellouzi,AZ,10,0.04561619000000001,0.046
S. Folkertsma,PSV,248,0.79764586,0.798
S. Hassani,HERA United,31,0.04460392999999999,0.045
S. Heijblom,NAC Breda,44,0.03661776,0.037
S. Koeleman,ADO Den Haag,70,0.015133359999999997,0.015
S. Koopman,Feyenoord,6,0.017340339999999996,0.017
S. Kroezen,Heerenveen,66,-0.08207853999999998,-0.082
S. Martina,Excelsior,40,-0.09721801,-0.097
S. Proost,Twente,32,0.007313959999999996,0.007
S. Spitse,Ajax,155,0.79210163,0.792
S. Thrige,PSV,200,1.08539118,1.085
S. Verdaasdonk,Twente,5,0.02222956,0.022
S. Verhoeve,Utrecht,10,0.0,0.0
S. de Blij,NAC Breda,8,-0.013996199999999995,-0.014
S. de Jong,Utrecht,12,0.29370788,0.294
S. te Brake,Twente,54,-0.13001263,-0.13
S. van Vugt,PEC Zwolle,43,0.01800354,0.018
S. van de Velde,PEC Zwolle,10,0.0156872,0.016
T. Groenendijk,Utrecht,26,-0.04343717000000001,-0.043
T. Tiebie,HERA United,55,0.14643161999999998,0.146
T. van Bentem,Feyenoord,99,0.65559147,0.656
Y. Helderman,Excelsior,60,0.08207176,0.082
Y. Khanchouch,HERA United,8,0.020329680000000003,0.02
Y. Kleef,HERA United,7,0.23978591,0.24
Y. van Goch,NAC Breda,73,0.31268260999999997,0.313
Z. Henry,ADO Den Haag,79,0.022402450000000004,0.022
Z. Hulswit,Feyenoord,35,0.56404484,0.564
Z. Zuidberg,PEC Zwolle,55,0.75328662,0.753
